Symbol,Count,Probability,Information
"('who-has', '192.168.1.101')",122,0.16158940397350993,2.6295954966495554
"('who-has', '192.168.1.106')",94,0.12450331125827814,3.005743982534804
"('is-at', '192.168.1.101')",51,0.06754966887417219,3.887907492240946
"('is-at', '192.168.1.1')",117,0.15496688741721854,2.689968114629037
"('who-has', '192.168.1.111')",14,0.018543046357615896,5.7529779121548374
"('who-has', '192.168.1.112')",14,0.018543046357615896,5.7529779121548374
"('who-has', '192.168.1.107')",2,0.0026490066225165563,8.560332834212442
"('who-has', '192.168.1.104')",237,0.31390728476821195,1.6715895853141822
"('who-has', '192.168.1.109')",8,0.010596026490066225,6.560332834212441
"('who-has', '192.168.1.1')",88,0.11655629139072848,3.1009012155751443
"('who-has', '192.168.1.114')",3,0.003973509933774834,7.975370333491285
"('is-at', '192.168.1.112')",5,0.006622516556291391,7.238404739325079
