Symbol,Count,Probability,Information
"('who-has', '10.2.200.69')",2,0.006688963210702341,7.224001674198106
"('who-has', '10.2.200.240')",4,0.013377926421404682,6.224001674198106
"('who-has', '10.2.203.254')",211,0.705685618729097,0.50290248549092
"('who-has', '10.2.203.190')",5,0.016722408026755852,5.902073579310743
"('who-has', '10.2.200.148')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.203.181')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.201.15')",3,0.010033444816053512,6.63903917347695
"('who-has', '10.2.201.164')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.202.33')",2,0.006688963210702341,7.224001674198106
"('who-has', '172.17.0.1')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.0.0.253')",3,0.010033444816053512,6.63903917347695
"('who-has', '10.2.201.40')",9,0.030100334448160536,5.054076672755793
"('who-has', '10.2.200.122')",3,0.010033444816053512,6.63903917347695
"('who-has', '10.2.201.44')",2,0.006688963210702341,7.224001674198106
"('who-has', '10.2.201.228')",4,0.013377926421404682,6.224001674198106
"('who-has', '10.2.203.135')",8,0.026755852842809364,5.224001674198106
"('who-has', '10.2.202.173')",11,0.03678929765886288,4.7645700555608075
"('who-has', '10.2.202.149')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.201.183')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.0.0.241')",3,0.010033444816053512,6.63903917347695
"('who-has', '10.2.203.170')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.203.86')",2,0.006688963210702341,7.224001674198106
"('who-has', '10.2.200.152')",2,0.006688963210702341,7.224001674198106
"('who-has', '10.2.200.242')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.203.196')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.200.120')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.201.178')",8,0.026755852842809364,5.224001674198106
"('who-has', '10.2.202.21')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.200.234')",1,0.0033444816053511705,8.224001674198107
"('who-has', '10.2.202.208')",4,0.013377926421404682,6.224001674198106
"('who-has', '10.2.200.190')",1,0.0033444816053511705,8.224001674198107
